book_title,author,lenght
1. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
2. Fourth Wing,By: Rebecca Yarros,Length: 20 hrs and 43 mins
3. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
4. The Woman in Me,By: Britney Spears,Length: 5 hrs and 31 mins
5. The Ballad of Songbirds and Snakes,By: Suzanne Collins,Length: 16 hrs and 16 mins
6. The Heaven & Earth Grocery Store,By: James McBride,Length: 12 hrs and 21 mins
7. Tom Lake,By: Ann Patchett,Length: 11 hrs and 22 mins
8. None of This Is True,By: Lisa Jewell,Length: 10 hrs and 20 mins
9. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
10. The Lightning Thief,By: Rick Riordan,Length: 10 hrs and 2 mins
11. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
12. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
13. The Boys in the Boat,By: Daniel James Brown,Length: 14 hrs and 24 mins
14. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
15. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
"16. Friends, Lovers, and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
17. Oath and Honor,By: Liz Cheney,Length: 12 hrs and 14 mins
18. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
"19. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
20. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
21. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
22. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
23. The Hunger Games: Special Edition,By: Suzanne Collins,Length: 10 hrs and 35 mins
24. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
25. Elon Musk,By: Walter Isaacson,Length: 20 hrs and 27 mins
26. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
27. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
28. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
29. Ruthless Vows,By: Rebecca Ross,Length: 14 hrs and 6 mins
30. Hidden Potential,By: Adam Grant,Length: 7 hrs and 21 mins
31. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
32. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
33. Catching Fire,By: Suzanne Collins,Length: 11 hrs and 3 mins
34. Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
35. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
36. Witness,By: Jamel Brinkley,Length: 7 hrs and 48 mins
37. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
38. Dragonfall,By: L. R. Lam,Length: 13 hrs and 36 mins
39. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
40. The Edge,By: David Baldacci,Length: 11 hrs and 45 mins
41. The Two Towers,By: J. R. R. Tolkien,Length: 16 hrs and 40 mins
42. The Return of the King,By: J. R. R. Tolkien,Length: 18 hrs and 19 mins
43. Butcher & Blackbird,By: Brynne Weaver,Length: 8 hrs and 43 mins
44. The Frozen River,By: Ariel Lawhon,Length: 15 hrs and 5 mins
45. Feel-Good Productivity,By: Ali Abdaal,Length: 5 hrs and 31 mins
46. Be Useful,By: Arnold Schwarzenegger,Length: 6 hrs and 19 mins
47. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
